"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Tue Nov 28 15:18:36 +0000 2023","1729520169553375288","Banyak yg bilang tiket konser Yoasobi di Istora terbilang murah berarti orang yg penghasilan di atas rata2 orang Indonesia yg jadi wibu sekarang udah lumayan banyak ya?  Kenapa gue bukan salah satunya? 😭","0","1","0","0","in","2766198792","1729520169553375288","SayayaFC","https://twitter.com/SayayaFC/status/1729520169553375288","","Tokyo - Hokkaido"
"Fri Nov 24 15:47:42 +0000 2023","1728077943233008054","yoasobi knp hrs pk dah yg megang huuhuu mahal ni pasti","0","0","0","0","in","276926949","1728077943233008054","redyyder","https://twitter.com/redyyder/status/1728077943233008054","","Jakarta Capital Region, Indone"
"Wed Nov 29 04:44:09 +0000 2023","1729722896602341623","gue mau nangis aja liat harga tiket yoasobi di bawah 2jt tiket paling mahalnya  klo konser kpop… waduuuh harga segitu section paling mahal","0","1","0","0","in","717613737247571970","1729722107645317376","kyungsoo_dohh","https://twitter.com/kyungsoo_dohh/status/1729722896602341623","","budak company soosoo"
"Wed Nov 29 03:26:33 +0000 2023","1729703367193112934","Asli kemaren pas liat pricelist yoasobi langsung reflek "ANJIR MURAH BANGET"","0","0","0","0","in","60809358","1729703367193112934","mingyubit","https://twitter.com/mingyubit/status/1729703367193112934","","💎"
"Wed Nov 29 13:03:44 +0000 2023","1729848618880790676","@niloubandung Kalau dilihat dari Yoasobi... Kayaknya gak beda jauh. Malah mungkin lebih mahal :")  https://t.co/KaTaFEuQ81","0","0","0","0","in","2334400422","1729486520581787802","hachitomika","https://twitter.com/hachitomika/status/1729848618880790676","","flowerwall"
"Tue Nov 28 12:21:25 +0000 2023","1729475579932766541","WOOOYYY YOASOBI MURAH BANGEEETTTTTTT TIKETNYAAAA HELLOO OMG APAKAH AKU HARUS CAW????? TP ANJ THE ROSE TGL 18 NYA CUMA SELANG 2 HARI SI BANGKE 😭","0","2","0","3","in","1179261668427124736","1729475579932766541","seomitsuji","https://twitter.com/seomitsuji/status/1729475579932766541","","op | oorers"
"Tue Nov 28 13:56:21 +0000 2023","1729499473750130903","COCOK BGT INI MURAH DUITNYA MASIH BISA GUE PAKE BUAT KARAOKEAN 2 JAM YOASOBI FULL SENDIRI 😭😭😭😭😭","0","0","0","0","in","1257661739597836290","1729499473750130903","Akujoann","https://twitter.com/Akujoann/status/1729499473750130903","","ak sampah"
"Tue Nov 28 13:23:05 +0000 2023","1729491100279476715","yoasobi cukup murah juga yah tiketnya   mumpung eve masih januari nih war tiketnya huhu jd galau","0","0","0","0","in","185604028","1729491100279476715","__mutty_","https://twitter.com/__mutty_/status/1729491100279476715","","ao3-tumblr"
"Tue Nov 28 13:29:36 +0000 2023","1729492741305020701","Yoasobi ga gitu mahal yah tiketnya  tp di istora apa tida kekecilan? 🤔","0","0","0","0","in","2157943418","1729492741305020701","jidrugs","https://twitter.com/jidrugs/status/1729492741305020701","","🪐"
"Tue Nov 28 13:22:01 +0000 2023","1729490832737337811",":""""))))))) Nyapa murah bgt. Tapi gapunya temen ajsjsjskskll. Siapa mau nonton Yoasobi bareng pwis. Hiks.","0","0","0","0","in","1478670872122519554","1729490832737337811","littlecattoes","https://twitter.com/littlecattoes/status/1729490832737337811","","⋆ ( もえ! ★ )"
"Wed Nov 29 06:48:21 +0000 2023","1729754149678354884","AHAHAHAHAHAH BENER LAGI. Semalem kejadian pula pas manasin mas pacar suruh nonton yoasobi karena gile tiketnya murah banget wkwk. Padahal mah segitu tetep aja jutaan wkwk.","0","0","0","0","in","1280218507246854147","1729754149678354884","dikacanginjyani","https://twitter.com/dikacanginjyani/status/1729754149678354884","",""
"Tue Nov 28 13:40:52 +0000 2023","1729495574481862667","demi Allah yoasobi murah banget tapi knp pas aku gada duit...","0","0","0","0","in","1248950438319116288","1729495574481862667","yanqizng","https://twitter.com/yanqizng/status/1729495574481862667","","20+ ( random / hsrtwt ) 貴 ♡ "
"Tue Nov 28 13:38:44 +0000 2023","1729495039292907991","MURAH BGT ANJIR.. tapi jarang dengerin yoasobi yoasobi ini","0","0","0","0","in","1655166646917677056","1729495039292907991","demonsmow","https://twitter.com/demonsmow/status/1729495039292907991","","IDN/EN"
